Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
15,nWnE8G4R3a,Joy Wang,Kaitlin,Hatfield,Kaufman-Berry,264.318.4997x14933,(677)906-7558,bensonbobby@ochoa.com,coreygolden@blair.org,https://www.freeman.com/,Facebook Ads,Re-engagement,Hotel you character instead head customer red.
16,9JftpxiEOK,Sarah Green,Jeanette,B.,Rogers LLC,670.597.6421x937,(447)539-5538x9802,matthew30+bowersjack@hooper-henderson.biz,gerald32@gentry-schwartz.biz,http://kirk-crawford.com/,Referral,Closed Won,Lawyer senior upon foot clear look commercial.
17,xZz0XflEmf,Carlos Nolan,Lance,Charles,"Lopez, Murray and Zimmerman",+1-600-734-6395,965-612-6959,lparsons@hartman.com,alfredwelch@rojas.com,https://harris.net/,Social Media,On Hold,Gun here recent total common fear usually.
18,0vFaZukPzR,Connie Pope,Tommy,Cervantes,Hamilton Inc,681-567-9953,001-250-850-1149x496,yangpamela@bautista.com,cowanfaith@faulkner-gill.net,https://sweeney.com/,Networking Event,New Lead,Page box evening avoid green later.
19,J7egPQ2kw4,Brittany Donovan,Rachel,Hurley,"Bowman, Huff and Mckay",947-218-9700x22154,204-864-6341,yshepard@braun.com,alan82@cruz.com,https://hinton.com/,Website Form,Contacted,Writer against analysis peace.
20,RQpUYWchqH,Sharon Reese,Marie,Morrow,Villarreal-Kirby,689-567-2164x502,912.423.8150x693,carolynschwartz@beard.com,camposkristopher@mclean.com,http://www.warren.com/,Direct Traffic,Contacted,Career personal across measure.
21,aOgvWFYNCD,Philip Duffy,Jeff,Kidd,"Hart, Howell and Meadows",+1-988-365-3151x2509,001-442-457-2627x997,tstephens@sanders.com,johnvalenzuela@walters-roy.com,http://barnett.com/,Direct Traffic,Qualified,Computer western minute third.
22,isqB49PPRU,Jeffrey Short,Harry,Spence,Raymond-Frazier,(700)281-6618x078,559.232.1163,stefaniescott@valentine.com,kristi57@barron.com,http://white.com/,Other,Proposal Sent,Cultural wrong most into parent environment take medical.
23,WrH8Ei0U8w,Roger Walton,Marco,Bryant,Chambers-Blankenship,8926148000,(834)456-6255x52633,anthony83@parks.com,jesseschroeder@wheeler.biz,https://www.weiss.com/,Facebook Ads,On Hold,Our show soldier decade.
24,PrfUWwuxFX,Angela Osborn,Jillian,Mckay,Guerrero-Mata,(221)647-7374x35614,+1-843-719-6827,carlos86@savage.com,erik47@bradford.com,https://houston-sanders.net/,Content Marketing,Contacted,First sit but.
25,8QqDvItF93,Colton Cruz,Hayden,Singh,Warner-Beard,651-621-8347,001-865-986-2019x631,xavierpaul@jones.org,paigeglenn@greene-case.org,https://www.price-chandler.info/,Chatbot,Closed Won,Media including financial bit soldier voice future stop.
26,ioCffqW6jM,Kurt Holloway,Tim,Hutchinson,"Schultz, Wheeler and Mcintyre",528-539-6820,001-809-556-7493x90991,llong@luna.com,williamlee@combs-ritter.net,https://perez.biz/,Cold Call,Closed Lost,Compare government increase carry.
27,L185wAI7xm,Haley Wolfe,Ruben,Villanueva,"Joseph, Dennis and Maxwell",+1-366-329-7101x6845,868.523.2318,underwooddeanna@horn-heath.info,lstuart@mooney.com,https://fitzgerald.com/,Website Form,New Lead,Strong machine benefit keep help deep democratic.
28,ogNrE0nyhb,Chase Hood,Marcus,Williams,Bradley and Sons,554.206.7558,+1-336-882-9477,bellmaureen@baird.com,ybowman@alvarado.com,http://www.porter.biz/,Partner Program,Negotiation,Wife difference begin.
29,IHSSn9q2ae,Nichole Gallagher,Guy,Curry,"Case, Nelson and Pierce",(282)241-8919x083,509.482.0850x5330,theodore73@gaines-mcmahon.com,jamie71@daniels.org,https://ryan-crosby.com/,Webinars,Re-engagement,Writer wait here suddenly article stand water.
30,TR52fc2Gdr,Paul Huerta,Colleen,Heath,Patton-Johns,(201)292-1368,332-834-7074,bobby42@waters-acosta.com,meyerskent@bean.info,http://horn.com/,Google Ads,Re-engagement,Month husband billion although because.
31,PYMIk5SZmU,Anna Marshall,Helen,Travis,Knox-Pope,001-226-556-8292,730-884-9942x77131,waltoneric@galvan.net,joan35@brewer-macdonald.com,https://schaefer.biz/,Webinars,Qualified,Music own family occur throw drive class fish.
32,PYMIk5SZmU,Anna Marshall,Helen,Travis,Knox-Pope,730-884-9942x77131,001-226-556-8292,waltoneric+dariusswanson@galvan.net,joan35@brewer-macdonald.com,http://schaefer.biz/,Webinars,Qualified,Send partner tax activity accept summer.
33,J7egPQ2kw4,Brittany Donovan,Rachel,H.,"Bowman, Huff and Mckay",947-218-9700x22154,204-864-6341,alan82@cruz.com,yshepard@braun.com,https://hinton.com/,Website Form,Contacted,Writer against analysis peace.
34,xYsyYxuCVH,Deborah Fuller,Clifford,Santos,"Riddle, Bullock and Tyler",998.207.3129,5274972191,miguelgamble@moon.org,dwaller@booker.com,https://blair.org/,Partner Program,Re-engagement,Last trouble often direction peace.
35,u3IJGPl6SY,Jonathan Briggs,Darryl,Frye,Ruiz-Shelton,+1-782-781-9877x3895,(987)967-3275x104,sgould@newman.biz,jefferysosa@terry.org,http://willis-gardner.com/,Retargeting Ads,Proposal Sent,Ability free right line.
36,9JftpxiEOK,Sarah Green,Jeanette,Branch,Rogers LLC,670.597.6421x937,(447)539-5538x9802,gerald32+ewhitehead@gentry-schwartz.biz,matthew30@hooper-henderson.biz,https://kirk-crawford.com/,Referral,Closed Won,Step take who director man.
37,TeRNwLmmXM,Edwin Potts,Sydney,Moran,"Giles, Stokes and Downs",218-291-7155x4044,+1-524-565-8793x41303,dalenguyen@stark.org,nicolascurry@harding.info,http://graham-shea.com/,Organic Search (SEO),Closed Lost,Cost country visit trip.
38,RQpUYWchqH,Sharon Reese,Marie,M.,Villarreal-Kirby,912.423.8150x693,689-567-2164x502,camposkristopher@mclean.com,carolynschwartz@beard.com,http://www.warren.com/,Direct Traffic,Contacted,Career personal across measure.
39,oUuz9uJuzz,Keith Figueroa,Brendan,Dominguez,Vargas Ltd,624.650.2179x16654,(279)754-6416x9433,kwallace@kelly.net,igreer@hamilton-yoder.com,https://www.hanna.net/,Trade Show,Contacted,Our attorney see.
40,x9kRLpIanV,Charlene Huynh,Justin,B.,Mcknight PLC,001-417-438-8656,(680)663-2105x8267,hensonjake@snow.com,ehendricks+cbell@fleming.com,http://www.camacho-craig.com/,Partner Program,Qualified,Itself culture least marriage respond goal.
41,SOoJyBJEfD,Tabitha Preston,Bonnie,Patton,"Parrish, Melton and Best",338.850.4665x658,451-641-3445,crawfordedward@hester.com,dennis16@hall-finley.com,http://rich.com/,Partner Program,Closed Won,Carry doctor continue add war.
42,HpUcCoOIVL,Lisa Bowers,Karl,West,Floyd-Ferrell,(648)332-1241,(526)448-7095x038,sburch@bray-herrera.com,beverly80@perkins.org,https://www.bowen.org/,Podcast,Negotiation,Tree must hear difference goal throughout.
43,L185wAI7xm,Haley Wolfe,Ruben,V.,"Joseph, Dennis and Maxwell",+1-366-329-7101x6845,868.523.2318,lstuart@mooney.com,underwooddeanna@horn-heath.info,https://fitzgerald.com/,Website Form,New Lead,Strong machine benefit keep help deep democratic.
44,HpUcCoOIVL,Lisa Bowers,Karl,W.,Floyd-Ferrell,(648)332-1241,(526)448-7095x038,beverly80@perkins.org,sburch+steve09@bray-herrera.com,https://www.bowen.org/,Podcast,Negotiation,Tree must hear difference goal throughout.
45,VlkDmeSyhI,Clayton Perkins,Tanya,Hopkins,Richards-Bartlett,288-733-4064,637.205.9970,kristy77@blake.net,dorseydesiree@mckenzie.net,http://andersen-becker.com/,Cold Email,Closed Lost,Activity new design such operation.
46,G86rE7RB9N,Karl Sparks,Marc,Chambers,Singleton-French,001-462-935-3538x0982,4282844089,znewton@larson-trujillo.net,sheasara@bennett-woods.com,https://savage.com/,Cold Email,Closed Lost,Listen although value since.
47,DoaiC8x2f8,Jake Payne,Jonathan,Key,Stewart Ltd,963.540.6913,+1-591-961-9463x287,willie25@hernandez.info,kurt92@hebert-brady.info,http://www.roberson-howell.org/,Networking Event,Closed Lost,Ball six fly.
48,JxP0DtAHj3,Arthur Lindsey,Sheryl,Arnold,Orr Inc,(531)325-3102x575,001-205-285-6790x719,judyjensen@vazquez-moon.com,travis49@blackwell.biz,http://www.brennan-patrick.net/,Chatbot,On Hold,Shoulder game benefit season water mind write.
49,JxP0DtAHj3,Arthur Lindsey,Sheryl,A.,Orr Inc,(531)325-3102x575,001-205-285-6790x719,travis49@blackwell.biz,judyjensen@vazquez-moon.com,http://www.brennan-patrick.net/,Chatbot,On Hold,Shoulder game benefit season water mind write.
50,TSB6iJOaS7,Erik Stokes,Darren,Murillo,Blackburn PLC,+1-375-530-5462,+1-373-593-4036x348,ralphmosley@hardy.biz,xfaulkner@shea-hayden.com,https://moody.net/,Organic Search (SEO),Closed Lost,Couple first carry.
51,TR52fc2Gdr,Paul Huerta,Colleen,H.,Patton-Johns,332-834-7074,(201)292-1368,meyerskent@bean.info,bobby42+parkspatrick@waters-acosta.com,http://horn.com/,Google Ads,Re-engagement,Month husband billion although because.
52,u3IJGPl6SY,Jonathan Briggs,Darryl,F.,Ruiz-Shelton,+1-782-781-9877x3895,(987)967-3275x104,jefferysosa@terry.org,sgould@newman.biz,http://willis-gardner.com/,Retargeting Ads,Proposal Sent,Ability free right line.
53,ogNrE0nyhb,Chase Hood,Marcus,W.,Bradley and Sons,554.206.7558,+1-336-882-9477,ybowman@alvarado.com,bellmaureen+pjoseph@baird.com,http://www.porter.biz/,Partner Program,Negotiation,Wife difference begin.
54,0bWZvc1pm1,Joann Villegas,Deanna,Daugherty,"Velazquez, Cordova and Flowers",780-803-4607x442,273.916.5746x003,leslie19@mcintosh.com,daltonpaul@ramirez.com,http://lowery.biz/,Facebook Ads,Proposal Sent,Eye prove involve population exactly each.
55,w7yG1E5ba0,Danielle Higgins,Gary,Deleon,Solis-Zavala,305.923.8172,341.506.9742x735,cabrerakaitlin@wiggins-avila.net,ibarradeborah@peterson-cowan.com,http://www.williams-fuentes.com/,Google Ads,Proposal Sent,Draw together role live prepare.
56,HpUcCoOIVL,Lisa Bowers,Karl,West,Floyd-Ferrell,(526)448-7095x038,(648)332-1241,sburch@bray-herrera.com,beverly80@perkins.org,https://www.bowen.org/,Podcast,Negotiation,Wear scene training hope assume beautiful take program.
57,HDy5DLRgDW,Jermaine Rogers,Briana,Rodriguez,"Farrell, Wilkinson and Lamb",980.658.5828x5128,001-834-638-9122x06472,julian51+haileyandersen@perry.biz,colebates@barrett.net,https://www.moss-randolph.info/,Google Ads,On Hold,Doctor discuss rate control trade war teacher.
58,ItWFy57sKd,Derek Dominguez,Matthew,Clarke,Malone LLC,851-576-2354,+1-862-427-4932x198,walkeralejandro@buchanan-cooper.com,hwiley@woodard.com,http://www.atkinson.com/,Cold Call,On Hold,Build brother case your our tax.
59,u3IJGPl6SY,Jonathan Briggs,Darryl,Frye,Ruiz-Shelton,(987)967-3275x104,+1-782-781-9877x3895,sgould@newman.biz,jefferysosa+jessewheeler@terry.org,http://willis-gardner.com/,Retargeting Ads,Proposal Sent,New one bar kind recognize.
60,VlkDmeSyhI,Clayton Perkins,Tanya,Hopkins,Richards-Bartlett,637.205.9970,288-733-4064,kristy77@blake.net,dorseydesiree@mckenzie.net,http://andersen-becker.com/,Cold Email,Closed Lost,Serious owner federal see we.
61,ZoBy0JiCgl,Kellie Riddle,Cheyenne,Jennings,Combs-May,8513562011,001-464-306-5329x5117,leah44@nielsen-sweeney.com,tim35@snow.com,http://gay.com/,Retargeting Ads,Closed Won,Cultural fill call defense here for.
62,IHSSn9q2ae,Nichole Gallagher,Guy,Curry,"Case, Nelson and Pierce",509.482.0850x5330,(282)241-8919x083,theodore73@gaines-mcmahon.com,jamie71@daniels.org,https://ryan-crosby.com/,Webinars,Re-engagement,Never paper meeting mean mother site whose.
63,xZz0XflEmf,Carlos Nolan,Lance,C.,"Lopez, Murray and Zimmerman",965-612-6959,+1-600-734-6395,alfredwelch@rojas.com,lparsons+jermainemayo@hartman.com,https://harris.net/,Social Media,On Hold,Gun here recent total common fear usually.
64,AGkqtUOxrW,Jacob Mullen,Brittany,Doyle,"Wells, Blackwell and Carpenter",3799286557,+1-307-200-3958x76901,melissabaird@tucker.com,panthony@abbott.info,http://ball.org/,Referral,New Lead,Model we test car these toward write conference.
65,JxP0DtAHj3,Arthur Lindsey,Sheryl,Arnold,Orr Inc,001-205-285-6790x719,(531)325-3102x575,judyjensen+harringtoncandice@vazquez-moon.com,travis49@blackwell.biz,http://www.brennan-patrick.net/,Chatbot,On Hold,Rather language parent thousand prevent pull whether.
66,8QqDvItF93,Colton Cruz,Hayden,Singh,Warner-Beard,001-865-986-2019x631,651-621-8347,xavierpaul@jones.org,paigeglenn@greene-case.org,http://www.price-chandler.info/,Chatbot,Closed Won,Wife minute wrong value place.
67,QU315YemF5,Kirk Johnson,Colton,Whitehead,"Haas, Beard and Mcgrath",+1-999-663-5572x30743,476-610-2488x609,troy83@cervantes.org,mckenzie25@harrison.com,http://schultz-cochran.com/,Cold Email,Negotiation,Arm interesting walk various city.
68,Q8cZ6vwUAp,Sonya Finley,Traci,Buchanan,"Mckee, Mason and Hardin",+1-998-449-9835x934,637.414.0215,powerspatrick@pacheco.org,umack@middleton.info,http://fuller.net/,Google Ads,Negotiation,Where miss subject staff.
69,Bex1hlIYNd,Cassandra Orozco,Judith,Williams,Norris Group,(589)927-0576x988,(400)934-4918x263,randydillon@mcpherson-kramer.com,ohampton@brown-gill.com,https://www.leblanc.com/,Retargeting Ads,Negotiation,Teach old do institution fly.
70,uEavoGab4M,Mikayla Bates,Melinda,Dickson,"Floyd, Mccann and Stephenson",791.749.1509x709,001-386-805-4903x5958,ewallace@maynard.org,rhodeslatoya@barr-holden.net,http://mata.com/,Website Form,Contacted,Country common during.
71,B03UqFji9x,Stacey Malone,Chris,Burch,Hardy-Norton,4048667746,9332321280,jeanette54@duncan-greer.com,fred33@montgomery-matthews.com,https://terrell.com/,Partner Program,Disqualified,Mother bill surface improve recognize response.
72,uk0mdGciWo,Wendy Reynolds,Terrance,West,"Ortega, Cowan and Francis",(530)635-2224x1351,(690)451-1184x546,calvin01@summers.net,rickeyramirez@woodard.com,http://hill-morgan.com/,Chatbot,Closed Lost,Early that end get player thousand theory.
73,x9kRLpIanV,Charlene Huynh,Justin,Bruce,Mcknight PLC,(680)663-2105x8267,001-417-438-8656,ehendricks@fleming.com,hensonjake@snow.com,http://www.camacho-craig.com/,Partner Program,Qualified,Add tend night final public product.
74,ZoBy0JiCgl,Kellie Riddle,Cheyenne,Jennings,Combs-May,001-464-306-5329x5117,8513562011,leah44@nielsen-sweeney.com,tim35@snow.com,https://gay.com/,Retargeting Ads,Closed Won,Letter charge sense each decision.
75,JeMgXjlMSO,Maureen Mckenzie,Stuart,Mcconnell,Glass-Sanders,716.657.5845x3767,(686)715-6079,amber50@hooper.com,veronicastein@combs.com,https://dickerson.info/,Website Form,Re-engagement,Foot soon few.
76,xZz0XflEmf,Carlos Nolan,Lance,Charles,"Lopez, Murray and Zimmerman",965-612-6959,+1-600-734-6395,lparsons+dparks@hartman.com,alfredwelch@rojas.com,http://harris.net/,Social Media,On Hold,Anything artist a race mouth.
77,GUC0tbSNYp,Zoe Lewis,Bonnie,Holt,Stark Group,001-785-769-2911x870,891-908-4329,ethanray@whitehead.biz,salinasangel@carroll.net,http://www.novak.info/,Direct Traffic,Negotiation,State thus on institution toward.
78,xiB33eOcrP,Vanessa Saunders,Leonard,Doyle,Little-Nicholson,381.275.3466x3184,+1-829-331-8644x093,edwinweber@stevens.biz,scott37@ferguson.com,http://www.jacobson-carr.net/,Retargeting Ads,Disqualified,Tell service notice stay.
79,rOBXO0y3Rv,Sheila Miles,Natasha,Barr,Douglas-Yu,8222946811,(443)351-8609x29040,dhouston@mendoza.net,oguzman@moreno-gallagher.com,https://www.farmer-becker.org/,LinkedIn Outreach,Negotiation,Start fact bit impact today create.
80,WrH8Ei0U8w,Roger Walton,Marco,Bryant,Chambers-Blankenship,(834)456-6255x52633,8926148000,anthony83@parks.com,jesseschroeder+joeshaw@wheeler.biz,https://www.weiss.com/,Facebook Ads,On Hold,Carry can same fall same old life each.
81,pWTOeOao5e,Francis Howell,Bobby,Hayes,Logan-Perez,+1-905-544-3165x910,(272)265-9352x37680,klineaustin@carter.com,sheilalang@solomon.biz,http://www.shaffer-mccormick.com/,Social Media,Re-engagement,Worker born clearly term.
82,QToTb5e8Jd,Chelsea Jennings,Guy,Howe,"Grant, Dalton and Coleman",414.390.5372,001-448-608-5984,alice63@cohen-richmond.com,jvincent@robles.com,http://www.lucas.com/,Google Ads,Negotiation,Learn expert identify information majority yourself.
83,P2NZdciyU1,Brian Peters,Norma,Peck,"Andrade, Knight and Bradley",(891)943-3941x93525,+1-823-789-2154x147,daisymays@potter-peck.org,chapmankelly@kirby.com,https://whitehead-faulkner.com/,Cold Call,Closed Won,News successful control new.
84,GUC0tbSNYp,Zoe Lewis,Bonnie,Holt,Stark Group,891-908-4329,001-785-769-2911x870,ethanray@whitehead.biz,salinasangel@carroll.net,http://www.novak.info/,Direct Traffic,Negotiation,Physical recognize space mother action.
85,jYr1O5ZM1r,Jonathon Pitts,Shelly,Gross,Duran and Sons,001-869-722-2850x94394,6349361623,rodney01@hartman.com,mindy56@robles.com,https://www.floyd-novak.com/,Organic Search (SEO),Proposal Sent,Just body much drug.
86,YGngWge5I8,Karen Ponce,Marcus,Chandler,Roberts-Donaldson,8949039821,789-739-0372x768,tamarawhite@weeks-faulkner.com,funderwood@lang.biz,https://heath.org/,Website Form,Closed Won,Cell along people fill job race give.
87,axXKBO0OHV,Valerie Stanton,Brandon,Haley,Massey Group,551.207.7167x608,928.765.3566x5157,derek69@whitney-aguilar.com,qvang@carroll.net,http://wells.com/,Networking Event,Closed Lost,Age house best affect finally style.
88,ioCffqW6jM,Kurt Holloway,Tim,Hutchinson,"Schultz, Wheeler and Mcintyre",001-809-556-7493x90991,528-539-6820,llong+daviesbeverly@luna.com,williamlee@combs-ritter.net,https://perez.biz/,Cold Call,Closed Lost,Able as particular.
89,FPhEVqAOSy,Catherine Sloan,Ana,Cortez,Sexton-Bridges,497-559-1973x18497,252.738.8948,comptongerald@king-craig.net,pachecoivan@english-moss.com,https://escobar.com/,Trade Show,Contacted,Consider maybe move school better option difference.
90,P2NZdciyU1,Brian Peters,Norma,Peck,"Andrade, Knight and Bradley",+1-823-789-2154x147,(891)943-3941x93525,daisymays@potter-peck.org,chapmankelly@kirby.com,http://whitehead-faulkner.com/,Cold Call,Closed Won,Money better move attorney.
91,QU315YemF5,Kirk Johnson,Colton,Whitehead,"Haas, Beard and Mcgrath",476-610-2488x609,+1-999-663-5572x30743,troy83@cervantes.org,mckenzie25@harrison.com,http://schultz-cochran.com/,Cold Email,Negotiation,Design cause here watch capital sport modern.
92,wSd7osMNNx,Malik Moreno,Blake,Guerra,"Peck, Watson and Riddle",937-520-9605x9765,+1-562-795-6066x91557,nelsondarlene@pollard.com,lsanford@wilkinson.com,http://www.hayes.biz/,Retargeting Ads,Closed Won,This new owner material year when.
93,ogNrE0nyhb,Chase Hood,Marcus,Williams,Bradley and Sons,+1-336-882-9477,554.206.7558,bellmaureen@baird.com,ybowman+acrawford@alvarado.com,https://www.porter.biz/,Partner Program,Negotiation,Listen on head grow others turn.
94,xF58efLg9M,Colin Johnson,James,Small,Frye Inc,510.575.2414x76299,654.578.0340x42981,hugheskristina@mccoy-townsend.com,pamsnyder@schwartz-clarke.info,http://mendoza.com/,Website Form,Negotiation,Five father guess knowledge deal.
95,iNcum0461w,Whitney Huff,Roberta,Wilkinson,Foley LLC,(408)425-6557,+1-654-265-2089x9941,douglasmunoz@bolton-simmons.com,mercedesporter@mckay.info,https://www.mccullough.info/,Trade Show,On Hold,Much let change someone.
96,wCth24QLtt,Clinton Wallace,Paige,Tucker,Irwin Inc,(267)603-5143x92617,(778)510-8776,annette80@haley-ballard.info,bobbarton@cowan-harris.com,https://morton.com/,Facebook Ads,Closed Lost,Its culture control coach identify would.
97,onfHzV3JsG,Christopher Valentine,Jasmin,Hunter,"Adams, Mahoney and Moran",+1-978-437-5927x255,328-380-8976x326,larsenwesley@boyer.net,logan40@riddle.biz,http://www.scott.biz/,Other,Disqualified,Event relationship amount foot must religious.
98,PU2LczZ5gN,Calvin Stevenson,Ashley,Olson,Armstrong and Sons,270.593.0894,(744)858-4555x820,morankirk@finley.net,robertaherman@downs.biz,http://www.johns.com/,Chatbot,Proposal Sent,Simple begin evening interesting whether sit.
99,DAVknl2IRr,Tami Barnett,Jim,Lloyd,"Winters, Bolton and Lester",(442)975-0130x486,001-258-458-2817x5851,kathleen24@roth.biz,boyercynthia@barton-patterson.org,https://www.reynolds-dodson.com/,Google Ads,Disqualified,Fill economic special community north another.
100,rOBXO0y3Rv,Sheila Miles,Natasha,Barr,Douglas-Yu,(443)351-8609x29040,8222946811,dhouston@mendoza.net,oguzman+frenchbernard@moreno-gallagher.com,http://www.farmer-becker.org/,LinkedIn Outreach,Negotiation,Employee alone build language memory meet.
